distancia,angulo_graus,classe,contrast,dissimilarity,homogeneity,energy,ASM,correlation
1,0.0,Apple___healthy,1.8881448412698403,0.7467757936507935,0.7163515769217856,0.240232020533996,0.05771142368984628,0.7770094174780884
1,45.0,Apple___healthy,2.7533383723859957,0.903502141597381,0.6810239752622771,0.22911092090652493,0.05249181407863592,0.6739557227429258
1,90.0,Apple___healthy,1.6760912698412684,0.7088293650793652,0.7238321075561035,0.24048569807495768,0.0578333709785997,0.8037027983975065
1,135.0,Apple___healthy,1.8188460569412956,0.8059964726631398,0.683014632202308,0.2268509926823026,0.05146137288094611,0.7845310066543311
2,0.0,Apple___healthy,2.9153225806451624,0.9490927419354839,0.6652833360994992,0.22463269323434631,0.05045984686971594,0.6519113900805336
2,45.0,Apple___healthy,2.7533383723859957,0.903502141597381,0.6810239752622771,0.22911092090652493,0.05249181407863592,0.6739557227429258
2,90.0,Apple___healthy,3.0350302419354858,0.9851310483870972,0.657272241241291,0.22122559472470688,0.04894076376130025,0.6435544954972163
2,135.0,Apple___healthy,1.8188460569412956,0.8059964726631398,0.683014632202308,0.2268509926823026,0.05146137288094611,0.7845310066543311
4,0.0,Apple___healthy,3.763802083333333,1.1216145833333337,0.6252708826926523,0.21533978406694046,0.04637122260199654,0.5400459647230846
4,45.0,Apple___healthy,4.507390486428379,1.269551195915077,0.5977179123184323,0.2082659878482472,0.04337472169440625,0.4516961310920478
4,90.0,Apple___healthy,4.0148437500000025,1.1726562500000002,0.6183299479587268,0.21217183223328495,0.04501688639322922,0.5250284516448039
4,135.0,Apple___healthy,2.6721311475409846,1.0150497178177913,0.6260295575242305,0.21421906795839624,0.04588980907696398,0.6736983124320924
1,0.0,Apple___Apple_scab,1.919890873015872,0.7512400793650792,0.7156438093826009,0.2685010379720233,0.07209280739205388,0.7767387363637083
1,45.0,Apple___Apple_scab,2.4845049130763432,0.9264298311917356,0.6582714915581779,0.24588589150126125,0.060459871639370014,0.7087423672775518
1,90.0,Apple___Apple_scab,1.1830357142857135,0.6408730158730156,0.7277122162819799,0.26470422856286835,0.07006832861906326,0.8620769241790972
1,135.0,Apple___Apple_scab,2.27815570672714,0.8818342151675501,0.6694124413001242,0.24994158352112472,0.062470795173047364,0.732893734605423
2,0.0,Apple___Apple_scab,3.708669354838715,1.0791330645161297,0.6434413714981689,0.24497030749867738,0.060010451555996554,0.5670700287065069
2,45.0,Apple___Apple_scab,2.4845049130763432,0.9264298311917356,0.6582714915581779,0.24588589150126125,0.060459871639370014,0.7087423672775518
2,90.0,Apple___Apple_scab,2.0292338709677438,0.8679435483870969,0.663632811547731,0.247129989623904,0.061073231771510895,0.7589640005996634
2,135.0,Apple___Apple_scab,2.27815570672714,0.8818342151675501,0.6694124413001242,0.24994158352112472,0.062470795173047364,0.732893734605423
4,0.0,Apple___Apple_scab,5.0500000000000025,1.3552083333333345,0.579716709710524,0.22559787764516662,0.05089440239800357,0.40511413145847386
4,45.0,Apple___Apple_scab,5.176834184359044,1.4127922601451242,0.55990394755729,0.2223890939728209,0.049456909118052166,0.3628035896985232
4,90.0,Apple___Apple_scab,2.8497395833333328,1.0497395833333338,0.6205092809552321,0.23885362152866996,0.05705105251736111,0.6508967230946782
4,135.0,Apple___Apple_scab,4.607632356893311,1.2649825315775338,0.599509320438636,0.23642340583910423,0.05589602682856179,0.4320554584970145
1,0.0,Apple___Black_rot,26.11681547619039,3.5305059523809206,0.310604552346285,0.07834141887427053,0.006137377911233911,0.7836164743750003
1,45.0,Apple___Black_rot,26.853111615016537,3.5933484504913276,0.31341824838666127,0.07741693084103747,0.005993381180845978,0.7773551855016771
1,90.0,Apple___Black_rot,22.482390873015753,3.3345734126983846,0.32189048229503603,0.08003345792307838,0.006405354387125159,0.8131097589157332
1,135.0,Apple___Black_rot,25.440917107583942,3.532627865961214,0.31227623041630986,0.07858761678937867,0.006176013512634232,0.7890165903057201
2,0.0,Apple___Black_rot,32.441532258064676,3.9012096774193754,0.30202251298958804,0.07618206231571352,0.005803706618675258,0.7319214118891976
2,45.0,Apple___Black_rot,26.853111615016537,3.5933484504913276,0.31341824838666127,0.07741693084103747,0.005993381180845978,0.7773551855016771
2,90.0,Apple___Black_rot,23.828629032258227,3.476814516129053,0.30853944449829823,0.07912323206584947,0.0062604858525462685,0.8015888925705023
2,135.0,Apple___Black_rot,25.440917107583942,3.532627865961214,0.31227623041630986,0.07858761678937867,0.006176013512634232,0.7890165903057201
4,0.0,Apple___Black_rot,41.458333333333464,4.458333333333351,0.2720798644562216,0.07047771869509786,0.004967108832465346,0.6578064677875657
4,45.0,Apple___Black_rot,40.808922332706175,4.48427841977963,0.26596302124065485,0.07045476042873122,0.00496387326706991,0.6619717806491433
4,90.0,Apple___Black_rot,28.625000000000032,3.8687500000000017,0.2759983514335259,0.07389159437435414,0.005459967719184083,0.7616190893475652
4,135.0,Apple___Black_rot,37.08223595807566,4.239989250201557,0.2744592923826462,0.07312184448851464,0.005346804141402519,0.6924024473907402
1,0.0,Apple___Cedar_apple_rust,0.24255952380952367,0.19097222222222204,0.9096726190476189,0.32677594860891174,0.10678252058925411,0.9624921470558156
1,45.0,Apple___Cedar_apple_rust,0.32854623330813826,0.26051902242378444,0.8764720703096053,0.30442874776233353,0.09267686246414249,0.9484756943941843
1,90.0,Apple___Cedar_apple_rust,0.23635912698412684,0.20709325396825382,0.8993099323062561,0.31699033795423437,0.10048287435633974,0.9631150570047188
1,135.0,Apple___Cedar_apple_rust,0.38725119677500636,0.2844545225497606,0.8679812665807067,0.30233061408422435,0.0914038002125442,0.9392815144483837
2,0.0,Apple___Cedar_apple_rust,0.45917338709677413,0.3155241935483871,0.8563893500948765,0.29646819016148124,0.08789338777762419,0.9286300049153582
2,45.0,Apple___Cedar_apple_rust,0.32854623330813826,0.26051902242378444,0.8764720703096053,0.30442874776233353,0.09267686246414249,0.9484756943941843
2,90.0,Apple___Cedar_apple_rust,0.4601814516129034,0.3457661290322582,0.8383805740037954,0.2833295743866132,0.08027564772209939,0.9272202097601245
2,135.0,Apple___Cedar_apple_rust,0.38725119677500636,0.2844545225497606,0.8679812665807067,0.30233061408422435,0.0914038002125442,0.9392815144483837
4,0.0,Apple___Cedar_apple_rust,0.7859375000000003,0.48802083333333374,0.7853400735294119,0.26175878114250234,0.06851765950520843,0.8763595481307805
4,45.0,Apple___Cedar_apple_rust,0.7406611126041382,0.5202902445579144,0.761626381270057,0.24813507644608418,0.061571016162904044,0.8793673886885681
4,90.0,Apple___Cedar_apple_rust,0.816666666666667,0.5510416666666669,0.7501663838612369,0.24217468884126717,0.05864857991536457,0.8676775539651537
4,135.0,Apple___Cedar_apple_rust,0.9553883364686914,0.5726955119591509,0.7506009064366245,0.24530438833604745,0.06017424293692237,0.8447718712746985
